weapon_name,weapon_link
List of weapons,/wiki/List_of_weapons
Guide:Class setups,/wiki/Guide:Class_setups
enemies,/wiki/Enemies
bosses,/wiki/Bosses
PvP,/wiki/PvP
Work Bench,/wiki/Work_Bench
Pre-Hardmode,/wiki/Pre-Hardmode_Anvils
Hardmode Anvil,/wiki/Hardmode_Anvil
Chests,/wiki/Chests#Natural_chests
NPCs,/wiki/NPCs
tools,/wiki/Tools
Traps,/wiki/Traps
NPCs,/wiki/NPCs
lava,/wiki/Lava
1Melee weapons,#Melee_weapons
1.1Swords,#Swords
1.2Yoyos,#Yoyos
1.3Spears,#Spears
1.4Boomerangs,#Boomerangs
1.5Flails,#Flails
1.6Other,#Other
2Ranged weapons,#Ranged_weapons
2.1Bows,#Bows
2.2Repeaters,#Repeaters
2.3Guns,#Guns
2.4Launchers,#Launchers
2.5Consumables,#Consumables
2.5.1Grenades,#Grenades
2.6Others,#Others
3Magic weapons,#Magic_weapons
3.1Wands,#Wands
3.2Magic guns,#Magic_guns
3.3Spell books,#Spell_books
3.4Others,#Others_2
4Summoning weapons,#Summoning_weapons
4.1Minion-summoning weapons,#Minion-summoning_weapons
4.2Sentry-summoning weapons,#Sentry-summoning_weapons
4.3Whips,#Whips
5Other weapons,#Other_weapons
5.1Placeable weapons,#Placeable_weapons
5.2Explosives,#Explosives
5.3Other weapons,#Other_weapons_2
5.4Unimplemented weapons,#Unimplemented_weapons
5.5Removed weapons,#Removed_weapons
6Notes,#Notes
Melee weapons,/wiki/Melee_weapons
Swords,/wiki/Swords
PC,/wiki/PC_version
Console,/wiki/Console_version
Mobile,/wiki/Mobile_version
tModLoader,/wiki/TModLoader
Copper Shortsword,/wiki/Copper_Shortsword
Tin Shortsword,/wiki/Tin_Shortsword
Wooden Sword,/wiki/Wooden_Sword
Boreal Wood Sword,/wiki/Boreal_Wood_Sword
Copper Broadsword,/wiki/Copper_Broadsword
Iron Shortsword,/wiki/Iron_Shortsword
Palm Wood Sword,/wiki/Palm_Wood_Sword
Rich Mahogany Sword,/wiki/Rich_Mahogany_Sword
Cactus Sword,/wiki/Cactus_Sword
Lead Shortsword,/wiki/Lead_Shortsword
Silver Shortsword,/wiki/Silver_Shortsword
Tin Broadsword,/wiki/Tin_Broadsword
Ebonwood Sword,/wiki/Ebonwood_Sword
Iron Broadsword,/wiki/Iron_Broadsword
Shadewood Sword,/wiki/Shadewood_Sword
Tungsten Shortsword,/wiki/Tungsten_Shortsword
Gold Shortsword,/wiki/Gold_Shortsword
Lead Broadsword,/wiki/Lead_Broadsword
Silver Broadsword,/wiki/Silver_Broadsword
Ash Wood Sword,/wiki/Ash_Wood_Sword
Flymeal,/wiki/Flymeal
Bladed Glove,/wiki/Bladed_Glove
Tungsten Broadsword,/wiki/Tungsten_Broadsword
Zombie Arm,/wiki/Zombie_Arm
Gold Broadsword,/wiki/Gold_Broadsword
Platinum Shortsword,/wiki/Platinum_Shortsword
Mandible Blade,/wiki/Mandible_Blade
Stylish Scissors,/wiki/Stylish_Scissors
Ruler,/wiki/Ruler
Platinum Broadsword,/wiki/Platinum_Broadsword
Umbrella,/wiki/Umbrella
Breathing Reed,/wiki/Breathing_Reed
Gladius,/wiki/Gladius
Bone Sword,/wiki/Bone_Sword
Bat Bat,/wiki/Bat_Bat
Tentacle Spike,/wiki/Tentacle_Spike
Candy Cane Sword,/wiki/Candy_Cane_Sword
Katana,/wiki/Katana
Ice Blade,/wiki/Ice_Blade
Light's Bane,/wiki/Light%27s_Bane
Tragic Umbrella,/wiki/Tragic_Umbrella
Muramasa,/wiki/Muramasa
Exotic Scimitar,/wiki/Exotic_Scimitar
Phaseblade,/wiki/Phaseblade
Blood Butcherer,/wiki/Blood_Butcherer
Starfury,/wiki/Starfury
Enchanted Sword,/wiki/Enchanted_Sword_(item)
Purple Clubberfish,/wiki/Purple_Clubberfish
Bee Keeper,/wiki/Bee_Keeper
Falcon Blade,/wiki/Falcon_Blade
Blade of Grass,/wiki/Blade_of_Grass
Volcano,/wiki/Volcano
Night's Edge,/wiki/Night%27s_Edge
Pearlwood Sword,/wiki/Pearlwood_Sword
Classy Cane,/wiki/Classy_Cane
Slap Hand,/wiki/Slap_Hand
Cobalt Sword,/wiki/Cobalt_Sword
Palladium Sword,/wiki/Palladium_Sword
Phasesaber,/wiki/Phasesaber
[1],#cite_note-Phasesaber-1
Ice Sickle,/wiki/Ice_Sickle
Brand of the Inferno,/wiki/Brand_of_the_Inferno
Mythril Sword,/wiki/Mythril_Sword
Orichalcum Sword,/wiki/Orichalcum_Sword
Breaker Blade,/wiki/Breaker_Blade
Cutlass,/wiki/Cutlass
Frostbrand,/wiki/Frostbrand
Adamantite Sword,/wiki/Adamantite_Sword
Beam Sword,/wiki/Beam_Sword
Titanium Sword,/wiki/Titanium_Sword
Fetid Baghnakhs,/wiki/Fetid_Baghnakhs
Bladetongue,/wiki/Bladetongue
Tizona,/wiki/Tizona
Ham Bat,/wiki/Ham_Bat
Excalibur,/wiki/Excalibur
True Excalibur,/wiki/True_Excalibur
Chlorophyte Saber,/wiki/Chlorophyte_Saber
Death Sickle,/wiki/Death_Sickle
Psycho Knife,/wiki/Psycho_Knife
Keybrand,/wiki/Keybrand
Chlorophyte Claymore,/wiki/Chlorophyte_Claymore
The Horseman's Blade,/wiki/The_Horseman%27s_Blade
Christmas Tree Sword,/wiki/Christmas_Tree_Sword
True Night's Edge,/wiki/True_Night%27s_Edge
Seedler,/wiki/Seedler
Flying Dragon,/wiki/Flying_Dragon
Starlight,/wiki/Starlight
Terra Blade,/wiki/Terra_Blade
Influx Waver,/wiki/Influx_Waver
Star Wrath,/wiki/Star_Wrath
Meowmere,/wiki/Meowmere
↑,#cite_ref-Phasesaber_1-0
PC version,/wiki/PC_version
Console version,/wiki/Console_version
Old-gen console version,/wiki/Old-gen_console_version
Mobile version,/wiki/Mobile_version
Old Chinese version,/wiki/Old_Chinese_version
tModLoader version,/wiki/TModLoader
tModLoader 1.3-Legacy version,/wiki/TModLoader
Windows Phone version,/wiki/Windows_Phone_version
Nintendo3DS,/wiki/3DS_version
version,/wiki/3DS_version
Yoyos,/wiki/Yoyos
Wooden Yoyo,/wiki/Wooden_Yoyo
Rally,/wiki/Rally
Malaise,/wiki/Malaise
Artery,/wiki/Artery
Amazon,/wiki/Amazon
Code 1,/wiki/Code_1
Valor,/wiki/Valor
Cascade,/wiki/Cascade
Hive-Five,/wiki/Hive-Five
Format:C,/wiki/Format:C
Gradient,/wiki/Gradient
Chik,/wiki/Chik
Hel-Fire,/wiki/Hel-Fire
Amarok,/wiki/Amarok
Code 2,/wiki/Code_2
Yelets,/wiki/Yelets
Red's Throw,/wiki/Red%27s_Throw
Valkyrie Yoyo,/wiki/Valkyrie_Yoyo
Kraken,/wiki/Kraken
The Eye of Cthulhu,/wiki/The_Eye_of_Cthulhu
Terrarian,/wiki/Terrarian
Spears,/wiki/Spears
Spear,/wiki/Spear
Trident,/wiki/Trident
Storm Spear,/wiki/Storm_Spear
The Rotted Fork,/wiki/The_Rotted_Fork
Swordfish,/wiki/Swordfish
Dark Lance,/wiki/Dark_Lance
Cobalt Naginata,/wiki/Cobalt_Naginata
Palladium Pike,/wiki/Palladium_Pike
Mythril Halberd,/wiki/Mythril_Halberd
Orichalcum Halberd,/wiki/Orichalcum_Halberd
Adamantite Glaive,/wiki/Adamantite_Glaive
Titanium Trident,/wiki/Titanium_Trident
Gungnir,/wiki/Gungnir
Ghastly Glaive,/wiki/Ghastly_Glaive
Chlorophyte Partisan,/wiki/Chlorophyte_Partisan
Tonbogiri,/wiki/Tonbogiri
Mushroom Spear,/wiki/Mushroom_Spear
Obsidian Swordfish,/wiki/Obsidian_Swordfish
North Pole,/wiki/North_Pole
Boomerangs,/wiki/Boomerangs
Wooden Boomerang,/wiki/Wooden_Boomerang
Enchanted Boomerang,/wiki/Enchanted_Boomerang
Fruitcake Chakram,/wiki/Fruitcake_Chakram
Bloody Machete,/wiki/Bloody_Machete
Shroomerang,/wiki/Shroomerang
Ice Boomerang,/wiki/Ice_Boomerang
Trimarang,/wiki/Trimarang
Thorn Chakram,/wiki/Thorn_Chakram
Combat Wrench,/wiki/Combat_Wrench
Flamarang,/wiki/Flamarang
Flying Knife,/wiki/Flying_Knife
Sergeant United Shield,/wiki/Sergeant_United_Shield
Light Disc,/wiki/Light_Disc
Bananarang,/wiki/Bananarang
Possessed Hatchet,/wiki/Possessed_Hatchet
Paladin's Hammer,/wiki/Paladin%27s_Hammer
Flails,/wiki/Flails
Chain Knife,/wiki/Chain_Knife
Mace,/wiki/Mace
Flaming Mace,/wiki/Flaming_Mace
Ball O' Hurt,/wiki/Ball_O%27_Hurt
The Meatball,/wiki/The_Meatball
Blue Moon,/wiki/Blue_Moon
Sunfury,/wiki/Sunfury
Anchor,/wiki/Anchor
KO Cannon,/wiki/KO_Cannon
Drippler Crippler,/wiki/Drippler_Crippler
Chain Guillotines,/wiki/Chain_Guillotines
Dao of Pow,/wiki/Dao_of_Pow
Flower Pow,/wiki/Flower_Pow
Golem Fist,/wiki/Golem_Fist
Flairon,/wiki/Flairon
Terragrim,/wiki/Terragrim
Arkhalis,/wiki/Arkhalis
Jousting Lance,/wiki/Jousting_Lance
Shadowflame Knife,/wiki/Shadowflame_Knife
Hallowed Jousting Lance,/wiki/Hallowed_Jousting_Lance
Sleepy Octopod,/wiki/Sleepy_Octopod
Scourge of the Corruptor,/wiki/Scourge_of_the_Corruptor
Shadow Jousting Lance,/wiki/Shadow_Jousting_Lance
Vampire Knives,/wiki/Vampire_Knives
Sky Dragon's Fury,/wiki/Sky_Dragon%27s_Fury
Daybreak,/wiki/Daybreak
Solar Eruption,/wiki/Solar_Eruption
Zenith,/wiki/Zenith
Ranged weapons,/wiki/Ranged_weapons
Bows,/wiki/Bows
arrows,/wiki/Arrows
ammunition,/wiki/Ammunition
Wooden Bow,/wiki/Wooden_Bow
Boreal Wood Bow,/wiki/Boreal_Wood_Bow
Copper Bow,/wiki/Copper_Bow
Palm Wood Bow,/wiki/Palm_Wood_Bow
Rich Mahogany Bow,/wiki/Rich_Mahogany_Bow
Tin Bow,/wiki/Tin_Bow
Ebonwood Bow,/wiki/Ebonwood_Bow
Iron Bow,/wiki/Iron_Bow
Shadewood Bow,/wiki/Shadewood_Bow
Lead Bow,/wiki/Lead_Bow
Silver Bow,/wiki/Silver_Bow
Ash Wood Bow,/wiki/Ash_Wood_Bow
